level_0,level_1,level_2,level_3,level_4,flow_duration,Header_Length,Protocol_Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot_sum,Min,Max,AVG,Std,Tot_size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,total_packets,total_bytes,min_packet_length,max_packet_length,avg_packet_length,min,max,std
192.168.1.9,162.247.243.29,56556,443,TCP,1737885417.238924,0,0,0,0,0,0,1,1,1,6,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6852,54,2066,571.0,54,2066,39450961.0
162.247.243.29,192.168.1.9,443,56556,TCP,1737885417.239495,0,0,0,0,0,0,1,1,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2436,60,513,162.4,60,513,5169256.96
192.168.1.9,162.247.243.29,56557,443,TCP,1737885417.253372,0,0,0,0,0,0,1,1,1,2,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2348,54,2002,391.3333333333333,54,2002,3828544.444444445
162.247.243.29,192.168.1.9,443,56557,TCP,1737885417.253313,0,0,0,0,0,0,1,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,957,60,513,119.625,60,513,701196.890625
192.168.1.9,3.216.89.159,56303,443,TCP,1737885450.43372,0,0,0,0,0,0,0,0,0,103,252,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,22426,54,192,88.9920634920635,54,192,498941923.5556185
3.216.89.159,192.168.1.9,443,56303,TCP,1737885450.38665,0,0,0,0,0,0,0,0,0,319,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,47159,60,1454,140.7731343283582,60,1454,2210713657.5917664
2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,2a00:1450:4025:401::bc,56009,5228,TCP,1737885447.306505,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150,75,75,75.0,75,75,5625.0
2a00:1450:4025:401::bc,2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,5228,56009,TCP,1737885447.452438,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,172,86,86,86.0,86,86,7396.0
192.168.1.9,4.186.14.122,55952,443,TCP,1737885443.334864,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,316,54,104,79.0,54,104,56169.0
4.186.14.122,192.168.1.9,443,55952,TCP,1737885443.284759,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,186,93,93,93.0,93,93,8649.0
192.168.1.9,140.82.113.25,56253,443,TCP,1737885419.609941,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,139,55,84,69.5,55,84,4830.25
140.82.113.25,192.168.1.9,443,56253,TCP,1737885419.832125,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,206,60,80,68.66666666666667,60,80,18860.444444444438
192.168.1.9,140.82.113.21,56558,443,TCP,1737885416.172141,0,0,0,0,0,0,1,1,1,12,21,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9651,54,1927,438.6818181818182,54,1927,84866806.28305785
140.82.113.21,192.168.1.9,443,56558,TCP,1737885416.173047,0,0,0,0,0,0,1,1,0,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7889,60,1454,303.4230769230769,60,1454,57540977.255917154
192.168.1.9,192.168.1.1,56415,53,UDP,1737885412.155928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,74,74,74.0,74,74,0.0
192.168.1.9,192.168.1.1,64740,53,UDP,1737885412.156256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,74,74,74.0,74,74,0.0
192.168.1.1,192.168.1.9,53,64740,UDP,1737885412.169069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,158,158,158,158.0,158,158,0.0
192.168.1.1,192.168.1.9,53,56415,UDP,1737885412.169898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,90,90,90.0,90,90,0.0
192.168.1.9,20.207.73.85,56559,443,TCP,1737885416.236255,0,0,0,0,0,0,1,1,1,7,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4054,54,1953,270.26666666666665,54,1953,14316637.93777778
192.168.1.9,20.207.73.85,56560,443,TCP,1737885416.237838,0,0,0,0,0,0,1,1,1,2,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2375,54,1921,296.875,54,1921,4318603.515625
20.207.73.85,192.168.1.9,443,56559,TCP,1737885416.23734,0,0,0,0,0,0,1,1,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5666,60,1454,354.125,60,1454,28216016.015625
20.207.73.85,192.168.1.9,443,56560,TCP,1737885416.23852,0,0,0,0,0,0,1,1,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4182,60,1454,464.6666666666667,60,1454,13818567.111111112
192.168.1.9,52.168.112.66,56530,443,TCP,1737885413.000709,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,54,54,54.0,54,54,2916.0
2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,2620:1ec:bdf::63,56547,443,TCP,1737885412.884115,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,148,74,74,74.0,74,74,5476.0
2620:1ec:bdf::63,2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,443,56547,TCP,1737885412.884069,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,74,74,74.0,74,74,0.0
52.168.112.66,192.168.1.9,443,56530,TCP,1737885413.000679,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,60,60,60.0,60,60,0.0
192.168.1.9,192.168.1.1,49737,53,UDP,1737885416.43068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,83,83,83.0,83,83,0.0
192.168.1.9,192.168.1.1,58436,53,UDP,1737885416.430885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,83,83,83.0,83,83,0.0
192.168.1.9,192.168.1.1,62572,53,UDP,1737885416.43105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83,83,83,83.0,83,83,0.0
192.168.1.1,192.168.1.9,53,49737,UDP,1737885416.448722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164,164,164,164.0,164,164,0.0
192.168.1.1,192.168.1.9,53,58436,UDP,1737885416.448722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,211,211,211.0,211,211,0.0
192.168.1.1,192.168.1.9,53,62572,UDP,1737885416.449481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164,164,164,164.0,164,164,0.0
192.168.1.9,54.204.93.150,56561,443,TCP,1737885417.179842,0,0,0,0,0,0,0,1,0,6,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7463,54,4192,678.4545454545455,54,4192,46030057.02479338
54.204.93.150,192.168.1.9,443,56561,TCP,1737885417.347729,0,0,0,0,0,0,0,1,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5874,60,1454,391.6,60,1454,30056709.759999994
2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,2606:4700:7::a29f:8235,56553,443,TCP,1737885417.215655,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,148,74,74,74.0,74,74,5476.0
192.168.1.9,3.164.182.91,56554,443,TCP,1737885417.236855,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,54,54,54.0,54,54,2916.0
2606:4700:7::a29f:8235,2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,443,56553,TCP,1737885417.215615,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,74,74,74.0,74,74,0.0
3.164.182.91,192.168.1.9,443,56554,TCP,1737885417.238053,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,138,60,78,69.0,60,78,4761.0
192.168.1.9,162.247.243.29,56562,443,TCP,1737885448.904073,0,0,0,0,0,0,0,1,0,9,14,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10138,54,2002,675.8666666666667,54,2002,89531967.21777777
162.247.243.29,192.168.1.9,443,56562,TCP,1737885448.856372,0,0,0,0,0,0,0,1,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3657,60,513,203.16666666666666,60,513,11928964.694444446
192.168.1.9,162.247.243.29,56563,443,TCP,1737885418.775094,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2272,54,2034,568.0,54,2034,2903616.0
162.247.243.29,192.168.1.9,443,56563,TCP,1737885418.92441,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,759,60,513,151.8,60,513,368691.8400000001
192.168.1.9,52.41.108.173,56564,443,TCP,1737885421.671133,0,0,0,0,0,0,0,1,0,6,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4472,54,2063,447.2,54,2063,16199015.040000001
192.168.1.9,52.41.108.173,56565,443,TCP,1737885421.899838,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2355,54,2063,471.0,54,2063,3549456.0
52.41.108.173,192.168.1.9,443,56564,TCP,1737885422.005464,0,0,0,0,0,0,0,1,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1459,60,288,121.58333333333333,60,288,1788683.340277778
52.41.108.173,192.168.1.9,443,56565,TCP,1737885421.899778,0,0,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,883,60,288,126.14285714285714,60,288,572832.7346938776
2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,2a00:1450:4019:80d::2003,63673,443,UDP,1737885422.340188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7117,93,1292,508.35714285714283,93,1292,43674160.4132653
2a00:1450:4019:80d::2003,2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,443,63673,UDP,1737885422.307505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7999,83,1292,533.2666666666667,83,1292,55737174.204444446
2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,2603:1040:a06:6::1,55934,443,TCP,1737885428.460661,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,191,74,117,95.5,74,117,9120.25
2603:1040:a06:6::1,2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,443,55934,TCP,1737885428.405894,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248,248,248,248.0,248,248,0.0
192.168.1.9,3.109.104.219,56462,443,TCP,1737885447.039716,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,201,54,92,67.0,54,92,17956.0
3.109.104.219,192.168.1.9,443,56462,TCP,1737885446.984714,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,212,60,86,70.66666666666667,60,86,19975.111111111106
192.168.1.9,44.216.111.104,56532,443,TCP,1737885437.523438,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,55,55,55.0,55,55,0.0
44.216.111.104,192.168.1.9,443,56532,TCP,1737885437.742785,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,66,66,66.0,66,66,0.0
192.168.1.9,3.33.235.18,56468,443,TCP,1737885440.137368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,55,55,55.0,55,55,0.0
3.33.235.18,192.168.1.9,443,56468,TCP,1737885440.266903,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,66,66,66.0,66,66,0.0
192.168.1.9,20.207.73.85,56566,443,TCP,1737885446.557422,0,0,0,0,0,0,0,1,0,7,12,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3913,54,1921,301.0,54,1921,13046544.0
192.168.1.9,192.168.1.1,53053,53,UDP,1737885451.448991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,172,80,92,86.0,80,92,7396.0
192.168.1.9,192.168.1.1,51556,53,UDP,1737885451.448887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,172,80,92,86.0,80,92,7396.0
192.168.1.1,192.168.1.9,53,51556,UDP,1737885451.462372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,390,178,212,195.0,178,212,38025.0
192.168.1.1,192.168.1.9,53,53053,UDP,1737885451.463148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,385,129,256,192.5,129,256,37056.25
192.168.1.9,140.82.113.22,56567,443,TCP,1737885446.257095,0,0,0,0,0,0,0,1,0,6,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4884,54,1959,444.0,54,1959,19713600.0
192.168.1.9,20.207.73.85,56568,443,TCP,1737885451.608024,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2353,54,1953,336.14285714285717,54,1953,4067712.734693878
140.82.113.22,192.168.1.9,443,56567,TCP,1737885446.467158,0,0,0,0,0,0,0,1,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5550,60,1454,426.9230769230769,60,1454,26245917.15976331
20.207.73.85,192.168.1.9,443,56566,TCP,1737885446.838197,0,0,0,0,0,0,0,1,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5528,60,1454,394.85714285714283,60,1454,26349155.591836732
192.168.1.9,192.168.1.1,56838,53,UDP,1737885445.898203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,81,81,81.0,81,81,0.0
192.168.1.9,192.168.1.1,49173,53,UDP,1737885445.898479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,81,81,81.0,81,81,0.0
192.168.1.9,192.168.1.1,62814,53,UDP,1737885445.898696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,81,81,81.0,81,81,0.0
192.168.1.1,192.168.1.9,53,49173,UDP,1737885445.911838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258,258,258,258.0,258,258,0.0
192.168.1.1,192.168.1.9,53,56838,UDP,1737885445.912817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,244,244,244,244.0,244,244,0.0
192.168.1.1,192.168.1.9,53,62814,UDP,1737885445.91363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,244,244,244,244.0,244,244,0.0
192.168.1.9,3.214.27.152,56569,443,TCP,1737885446.595699,0,0,0,0,0,0,0,1,0,6,11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5201,54,1987,433.4166666666667,54,1987,22729850.840277776
20.207.73.85,192.168.1.9,443,56568,TCP,1737885451.607981,0,0,0,0,0,0,1,1,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4182,60,1454,464.6666666666667,60,1454,13818567.111111112
3.214.27.152,192.168.1.9,443,56569,TCP,1737885446.858296,0,0,0,0,0,0,0,1,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6932,60,1454,462.1333333333333,60,1454,41859174.68444444
192.168.1.9,20.189.173.24,56570,443,TCP,1737885452.670317,0,0,0,0,0,0,1,1,0,4,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3514,54,2038,351.4,54,2038,10002038.76
20.189.173.24,192.168.1.9,443,56570,TCP,1737885452.967471,0,0,0,0,0,0,1,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5705,60,1454,633.8888888888889,60,1454,25716167.90123457
2603:1046:2000:110::80,2400:adcc:1100:7f00:d06b:dea7:5c43:df5d,443,56538,TCP,1737885454.480982,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,74,74,74.0,74,74,0.0
